sku,slug,model,category,parameter,value,unit,notes,url,updated
ДАТ-INFRARED_R-224,infrared-remote-controller-yq,INFRARED REMOTE CONTROLLER YQ,Датчики и пульты,Напряжение:,5V,V,3.5V~6V,http://onbon.ru/product/sensors/infrared-remote-controller-yq,2026-03-28 15:56:08
ДАТ-INFRARED_R-224,infrared-remote-controller-yq,INFRARED REMOTE CONTROLLER YQ,Датчики и пульты,Напряжение:,5V,V,4.5V-6,http://onbon.ru/product/sensors/infrared-remote-controller-yq,2026-03-28 15:56:08
