sku,slug,model,category,parameter,value,unit,notes,url,updated
КОН-BX_Y04-499,bx-y04,BX Y04,Контроллеры YQ-серии,Внешняя память:,Max 256 Gb,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-420,bx-y04,BX Y04,Контроллеры YQ-серии,Вывод звука:,"Есть, Jack 3.5 мм",mm,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-456,bx-y04,BX Y04,Контроллеры YQ-серии,Количество рядов и тип хаба:,4 разъема T75,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-456,bx-y04,BX Y04,Контроллеры YQ-серии,Количество рядов и тип хаба:,8 разъемов T75,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-456,bx-y04,BX Y04,Контроллеры YQ-серии,Количество рядов и тип хаба:,2 разъема T75; 4 разъема T08,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-456,bx-y04,BX Y04,Контроллеры YQ-серии,Количество рядов и тип хаба:,2 разъема 50PIN,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-559,bx-y04,BX Y04,Контроллеры YQ-серии,Конфигурация оборудования:,"Процессор dual-core 1GHz, 512MB DRAM",,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-433,bx-y04,BX Y04,Контроллеры YQ-серии,Максимальная мощность:,≤ 10 Вт,W,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-433,bx-y04,BX Y04,Контроллеры YQ-серии,Максимальная мощность:,≤ 2 Вт,W,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-433,bx-y04,BX Y04,Контроллеры YQ-серии,Максимальная мощность:,≤ 4 Вт,W,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-224,bx-y04,BX Y04,Контроллеры YQ-серии,Напряжение:,5V,V,4.5V~6V,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-224,bx-y04,BX Y04,Контроллеры YQ-серии,Напряжение:,5V,V,3.5V-6V,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-224,bx-y04,BX Y04,Контроллеры YQ-серии,Напряжение:,5V,V,4~6V,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-232,bx-y04,BX Y04,Контроллеры YQ-серии,Память:,4 Gb,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-232,bx-y04,BX Y04,Контроллеры YQ-серии,Память:,512 Mb,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-232,bx-y04,BX Y04,Контроллеры YQ-серии,Память:,128 Mb,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-920,bx-y04,BX Y04,Контроллеры YQ-серии,Площадь управления:,64K: 512*128,,"W≤1024, H≤256",http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-920,bx-y04,BX Y04,Контроллеры YQ-серии,Площадь управления:,"1024*128, 672*192, 512*256, 336*384, 256*512",,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-920,bx-y04,BX Y04,Контроллеры YQ-серии,Площадь управления:,"1024*64, 512*128, 336*192, 256*256",,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-920,bx-y04,BX Y04,Контроллеры YQ-серии,Площадь управления:,512*32 400*40 336*48 256*64 200*80,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-920,bx-y04,BX Y04,Контроллеры YQ-серии,Площадь управления:,384*256,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-558,bx-y04,BX Y04,Контроллеры YQ-серии,Поддержка датчиков:,"Температура, Температура и влажность, ИК пульт, Датчик яркости",,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-558,bx-y04,BX Y04,Контроллеры YQ-серии,Поддержка датчиков:,"Температура, Температура и влажность, ИК, Датчик яркости",,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-558,bx-y04,BX Y04,Контроллеры YQ-серии,Поддержка датчиков:,"Температура, Температура и влажность, ИК",,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-942,bx-y04,BX Y04,Контроллеры YQ-серии,Режим соединения:,"Ethernet, USB-port, iLEDCloud",,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-942,bx-y04,BX Y04,Контроллеры YQ-серии,Режим соединения:,"Ethernet, USB, 3GW",,CDMA,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-942,bx-y04,BX Y04,Контроллеры YQ-серии,Режим соединения:,100M Еthernet/RS232/RS485/USB,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
КОН-BX_Y04-495,bx-y04,BX Y04,Контроллеры YQ-серии,Тип поддерживаемых модулей:,Полноцветные,,,http://onbon.ru/product/controllers-yq/bx-y04,2026-03-28 15:54:38
